date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:43	515/515	---M--	200	added ('OK')	text/plain	etag:W/%22203-w95jPv5CzI7ox6rWkmlq8FOIjbQ%22	https://ktmathugama.wixsite.com/robots.txt		(from )
12:26:43	1123483/1123483	---MCZ	200	added ('OK')	text/html	etag:W/%22745c37db41eae169168d359758ef5439%22	https://ktmathugama.wixsite.com/muse-digital-limited	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/muse-digital-limited.html	(from )
12:26:43	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:43%20GMT	https://ktmathugama.wixsite.com/c	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/c.1.delayed	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:44	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:44%20GMT	https://ktmathugama.wixsite.com/t	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/t.2.delayed	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:45	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:45%20GMT	https://ktmathugama.wixsite.com/	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/index.html	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:45	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:45%20GMT	https://ktmathugama.wixsite.com/%22https://i.ytimg.com/vi/3ohkao9y_z4/maxresdefault.jpg%22	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/_https_/i.ytimg.com/vi/3ohkao9y_z4/maxresdefault.3.delayed	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:46	2511/2511	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:46%20GMT	https://ktmathugama.wixsite.com/media/emptystate.85a4add5.svg	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/media/emptystate.85a4add5.4.delayed	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:48	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:48%20GMT	https://ktmathugama.wixsite.com/sitemap.xml	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/sitemap.6.delayed	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:48	572931/572931	---MCZ	200	added ('OK')	text/html	etag:W/%22a4b49bd5502dc9302b82cda2c587b39c%22	https://ktmathugama.wixsite.com/muse-digital-limited/team-members	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/muse-digital-limited/team-members.html	(from https://ktmathugama.wixsite.com/muse-digital-limited)
12:26:48	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Oct%202025%2023:26:48%20GMT	https://ktmathugama.wixsite.com/api/	/Users/anjanakulasinghe/Documents/Automation/KoungaGames/websites/muse-digital-limited/ktmathugama.wixsite.com/api/index.html	(from https://ktmathugama.wixsite.com/muse-digital-limited)
